Alias;Type;Experiment;Geometry;Parent;Species;Variety;ExperimentModalities;Repetition
26/DZ_PG_12/ZM1304_lot1/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973311401 43.61317378, 3.97334165 43.61315518, 3.973389651 43.61319639, 3.973359402 43.61321499, 3.973311401 43.61317378));;Maize;iPG082;WW;1
27/DZ_PG_74/ZM4397/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973263401 43.61313257, 3.97329365 43.61311397, 3.97334165 43.61315518, 3.973311401 43.61317378, 3.973263401 43.61313257));;Maize;iPG313;WW;1
28/DZ_PG_72/ZM4398/WW/1/DIA2017-05-19;Plot;;Polygon ((3.97329365 43.61311397, 3.973323899 43.61309537, 3.9733719 43.61313658, 3.97334165 43.61315518, 3.97329365 43.61311397));;Maize;iPG314;WW;1
29/DZ_PG_47/ZM4362/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973323899 43.61309537, 3.973354149 43.61307677, 3.973402149 43.61311798, 3.9733719 43.61313658, 3.973323899 43.61309537));;Maize;iPG202;WW;1
30/DZ_PG_04/ZM4366/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973354149 43.61307677, 3.973384398 43.61305817, 3.973432398 43.61309938, 3.973402149 43.61311798, 3.973354149 43.61307677));;Maize;iPG321;WW;1
31/DZ_PG_62/ZM4393/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973384398 43.61305817, 3.973414647 43.61303957, 3.973462648 43.61308078, 3.973432398 43.61309938, 3.973384398 43.61305817));;Maize;iPG303;WW;1
32/DZ_PG_03/ZM4377/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973414647 43.61303957, 3.973444896 43.61302097, 3.973492897 43.61306217, 3.973462648 43.61308078, 3.973414647 43.61303957));;Maize;iPG017;WW;1
33/DZ_PG_40/ZM4390/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973444896 43.61302097, 3.973475146 43.61300237, 3.973523146 43.61304357, 3.973492897 43.61306217, 3.973444896 43.61302097));;Maize;iPG176;WW;1
34/DZ_PG_14/ZM4375/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973475146 43.61300237, 3.973505395 43.61298376, 3.973553395 43.61302497, 3.973523146 43.61304357, 3.973475146 43.61300237));;Maize;iPG101;WW;1
35/DZ_PG_33/ZM4353/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973505395 43.61298376, 3.973535644 43.61296516, 3.973583644 43.61300637, 3.973553395 43.61302497, 3.973505395 43.61298376));;Maize;iPG158;WW;1
36/DZ_PG_17/ZM4348/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973535644 43.61296516, 3.973565893 43.61294656, 3.973613894 43.61298777, 3.973583644 43.61300637, 3.973535644 43.61296516));;Maize;iPG110;WW;1
37/DZ_PG_43/ZM4380/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973565893 43.61294656, 3.973596142 43.61292796, 3.973644143 43.61296917, 3.973613894 43.61298777, 3.973565893 43.61294656));;Maize;iPG188;WW;1
38/DZ_PG_21/ZM4360/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973596142 43.61292796, 3.973626391 43.61290936, 3.973674392 43.61295057, 3.973644143 43.61296917, 3.973596142 43.61292796));;Maize;iPG120;WW;1
39/DZ_PG_23/ZM4388/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973626391 43.61290936, 3.97365664 43.61289076, 3.973704641 43.61293197, 3.973674392 43.61295057, 3.973626391 43.61290936));;Maize;iPG128;WW;1
40/DZ_PG_09/ZM4368/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973578391 43.61286815, 3.97360864 43.61284955, 3.97365664 43.61289076, 3.973626391 43.61290936, 3.973578391 43.61286815));;Maize;iPG066;WW;1
41/DZ_PG_01/ZM4381/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973548142 43.61288675, 3.973578391 43.61286815, 3.973626391 43.61290936, 3.973596142 43.61292796, 3.973548142 43.61288675));;Maize;iPG004;WW;1
