,Alias	Type	Experiment	Species	Variety	ExperimentModalities	Repetition,URI
380,381/DZ_PG_47/ZM4362/WD2/2/DIA2017-05-19	Plot	DIA2017	Maize	iPG202	WD2	2,test/montpler/2020/aProject/pt20000381
381,382/DZ_PG_31/ZM4347/WD2/2/DIA2017-05-19	Plot	DIA2017	Maize	iPG153	WD2	2,test/montpler/2020/aProject/pt20000382
382,383/DZ_PG_69/ZM4396/WD2/2/DIA2017-05-19	Plot	DIA2017	Maize	iPG312	WD2	2,test/montpler/2020/aProject/pt20000383
383,384/DZ_PG_52/ZM4370/WD2/2/DIA2017-05-19	Plot	DIA2017	Maize	iPG239	WD2	2,test/montpler/2020/aProject/pt20000384
384,385/DZ_PG_72/ZM4398/WD2/2/DIA2017-05-19	Plot	DIA2017	Maize	iPG314	WD2	2,test/montpler/2020/aProject/pt20000385
385,386/DZ_PG_30/ZM4361/WD2/2/DIA2017-05-19	Plot	DIA2017	Maize	iPG152	WD2	2,test/montpler/2020/aProject/pt20000386
386,387/DZ_PG_23/ZM4388/WD2/2/DIA2017-05-19	Plot	DIA2017	Maize	iPG128	WD2	2,test/montpler/2020/aProject/pt20000387
387,388/DZ_PG_05/ZM4357/WD2/2/DIA2017-05-19	Plot	DIA2017	Maize	iPG026	WD2	2,test/montpler/2020/aProject/pt20000388
388,389/DZ_PG_66/ZM4391/WD2/2/DIA2017-05-19	Plot	DIA2017	Maize	iPG318	WD2	2,test/montpler/2020/aProject/pt20000389
389,390/DZ_PG_51/ZM4350/WD2/2/DIA2017-05-19	Plot	DIA2017	Maize	iPG234	WD2	2,test/montpler/2020/aProject/pt20000390
